episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
69,1207,69,-14.089442,0.460796,0.923557,23,0,1,4,4,0,0,3,1.621116,0,7,-12.089442,,,,,,,,
70,1216,70,-9.3,0.399444,0.922987,26,0,1,4,4,0,13,0,0.0,0,1,-6.3,,,,,,,,
71,1244,71,-2.442682,0.406632,0.921213,22,0,1,4,4,0,39,9,3.914636,3,6,-0.442682,,,,,,,,
72,1265,72,29.12348,0.405483,0.919883,18,1,1,3,2,11,26,14,6.7117,7,7,13.85585,,,,,,,,
73,1273,73,18.561374,0.436664,0.919377,22,1,1,4,3,5,25,12,4.745279,9,7,17.67264,,,,,,,,
74,1281,74,-1.209367,0.349516,0.91887,1,1,1,1,0,0,1,1,0.481267,0,1,-1.259367,,,,,,,,
75,1304,75,-1.252439,0.355734,0.917413,12,1,1,2,1,1,2,1,0.497167,0,1,-2.451417,,,,,,,,
76,1318,76,-7.184017,0.38303,0.916527,28,1,1,4,3,0,0,1,0.596868,0,1,-4.801566,,,,,,,,
77,1332,77,-8.001219,0.452898,0.91564,26,0,1,4,4,0,8,4,1.797562,1,5,-6.001219,,,,,,,,
78,1346,78,1.135422,0.457358,0.914753,23,0,1,4,4,0,5,5,2.070845,3,3,3.135422,,,,,,,,
79,1350,79,9.893346,0.240923,0.9145,2,1,1,1,0,2,33,5,2.352279,4,4,7.176139,,,,,,,,
80,1352,80,-1.277688,0.311097,0.914373,3,1,1,1,0,0,2,1,0.344624,0,1,-1.327688,,,,,,,,
81,1358,81,-0.556167,0.388018,0.913993,17,1,1,3,2,0,0,1,0.587667,1,0,0.893833,,,,,,,,
82,1363,82,-8.920437,0.375219,0.913677,28,0,1,4,4,0,0,1,0.359126,0,2,-6.420437,,,,,,,,
83,1390,83,19.010459,0.26741,0.911967,2,1,1,1,0,7,34,2,0.670917,3,1,7.835459,,,,,,,,
84,1396,84,4.830681,0.237904,0.911587,4,1,1,1,0,2,15,2,1.117735,1,1,2.058868,,,,,,,,
85,1399,85,-3.283182,0.320372,0.911397,12,1,1,2,1,0,1,1,0.417531,0,1,-2.491234,,,,,,,,
86,1412,86,-2.53696,0.375614,0.910573,1,1,1,1,0,0,12,2,0.826079,0,2,-2.58696,,,,,,,,
87,1419,87,-6.147129,0.420154,0.91013,27,1,1,4,3,0,28,3,1.505743,0,3,-4.947129,,,,,,,,
88,1425,88,-6.337527,0.280723,0.90975,9,1,1,2,1,0,5,5,2.724946,0,5,-6.137527,,,,,,,,
89,1438,89,0.203445,0.349346,0.908927,3,1,1,1,0,0,5,8,3.30689,3,7,0.153445,,,,,,,,
90,1444,90,34.870601,0.3373,0.908547,2,1,1,1,0,6,30,7,4.105558,8,-1,26.052779,,,,,,,,
91,1454,91,14.597757,0.281805,0.907913,1,1,1,1,0,0,1,6,2.095515,6,3,14.547757,,,,,,,,
92,1455,92,7.877607,0.309207,0.90785,17,1,1,4,3,2,12,3,1.722071,4,3,5.961035,,,,,,,,
93,1456,93,2.077271,0.331255,0.907787,15,1,1,3,2,1,13,5,2.617505,2,3,1.608752,,,,,,,,
94,1466,94,-7.593087,0.356728,0.907153,28,0,1,4,4,0,0,6,2.613825,1,5,-5.593087,,,,,,,,
95,1473,95,4.523528,0.295812,0.90671,3,1,1,1,0,3,22,4,2.060999,1,3,-0.469501,,,,,,,,
96,1477,96,-8.869153,0.368678,0.906457,28,0,1,4,4,0,6,1,0.461694,0,2,-6.369153,,,,,,,,
97,1485,97,3.946925,0.371135,0.90595,25,0,1,4,4,0,14,9,4.693851,5,6,5.946925,,,,,,,,
98,1493,98,-1.19873,0.324279,0.905443,1,1,1,1,0,0,2,1,0.502541,0,1,-1.24873,,,,,,,,
99,1501,99,13.363312,0.329761,0.904937,1,1,1,1,0,3,6,4,1.80251,3,1,8.401255,,,,,,,,
100,1511,100,12.30143,0.259868,0.904303,7,1,1,1,0,4,40,3,1.937006,2,1,5.468503,,,,,,,,
101,1512,101,-2.650831,0.247648,0.90424,10,1,1,2,1,0,12,2,1.098339,1,4,-2.450831,,,,,,,,
102,1513,102,-5.177479,0.324183,0.904177,15,1,1,3,2,0,4,1,0.345042,0,1,-3.727479,,,,,,,,
103,1518,103,-1.434678,0.279421,0.90386,4,1,1,2,1,3,13,4,1.53059,1,5,-4.934705,,,,,,,,
104,1519,104,9.578654,0.301904,0.903797,4,1,1,1,0,4,7,4,2.29042,3,5,2.64521,,,,,,,,
105,1544,105,-1.370839,0.265986,0.902213,2,1,1,1,0,0,8,1,0.50414,0,1,-1.24793,,,,,,,,
106,1548,106,4.26574,0.296812,0.90196,19,0,1,4,4,0,9,7,3.23148,4,2,7.01574,,,,,,,,
107,1587,107,13.251462,0.298948,0.89949,14,1,1,2,1,2,28,12,5.519693,6,7,10.259847,,,,,,,,
108,1600,108,56.239151,0.267936,0.898667,9,1,1,2,1,18,78,17,9.528302,12,5,32.064151,,,,,,,,
109,1605,109,1.926308,0.238496,0.89835,7,1,1,1,0,0,9,2,0.752617,1,1,1.876308,,,,,,,,
110,1617,110,-3.151059,0.297488,0.89759,9,1,1,2,1,0,1,1,0.497881,0,1,-2.451059,,,,,,,,
111,1622,111,17.633243,0.303683,0.897273,17,1,1,3,2,7,35,7,3.20787,5,4,8.203935,,,,,,,,
112,1626,112,13.058139,0.294064,0.89702,10,1,1,2,1,6,22,3,1.166277,2,1,3.883139,,,,,,,,
113,1631,113,3.788256,0.295391,0.896703,7,1,1,1,0,0,10,3,1.476512,2,2,3.738256,,,,,,,,
114,1635,114,3.35792,0.235977,0.89645,3,1,1,1,0,0,10,1,0.615841,1,0,3.30792,,,,,,,,
115,1654,115,11.628905,0.260038,0.895247,2,1,1,1,0,4,27,5,1.936497,3,3,5.468249,,,,,,,,
116,1669,116,11.856396,0.317054,0.894297,4,1,1,1,0,9,17,6,2.362791,2,6,-1.818604,,,,,,,,
117,1670,117,3.25651,0.294651,0.894233,1,1,1,1,0,0,0,1,0.41302,1,0,3.20651,,,,,,,,
