episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
149,3486,149,-8.12656,0.123373,0.77922,10,1,1,2,1,0,1,4,2.042989,0,4,-4.978506,,,,,,,,
150,3500,150,-22.044666,0.163373,0.778333,39,0,1,6,6,0,7,1,0.631621,0,2,-5.08419,,,,,,,,
151,3520,151,-8.03517,0.138485,0.777067,16,1,1,3,2,0,0,2,0.996012,1,1,0.798006,,,,,,,,
152,3531,152,-9.639972,0.151862,0.77637,24,1,1,5,4,0,19,2,1.03512,1,1,-1.58244,,,,,,,,
153,3538,153,-4.017323,0.136215,0.775927,5,1,1,1,0,0,10,7,3.849293,0,7,-8.575353,,,,,,,,
154,3539,154,22.555997,0.128771,0.775863,5,1,1,1,0,5,17,9,5.293828,0,9,-10.853086,,,,,,,,
155,3541,155,-22.677172,0.169636,0.775737,42,0,1,6,6,0,42,0,0.0,0,0,-1.2,,,,,,,,
156,3545,156,-20.819864,0.163279,0.775483,35,0,1,6,6,0,21,0,0.0,0,0,-2.4,,,,,,,,
157,3548,157,24.535633,0.125039,0.775293,3,1,1,1,0,5,8,3,1.295754,0,3,-3.852123,,,,,,,,
158,3552,158,-2.314091,0.115959,0.77504,2,1,1,1,0,0,0,6,2.977247,2,4,1.488624,,,,,,,,
159,3556,159,-16.867937,0.1591,0.774787,30,1,1,6,5,0,0,4,2.686602,2,2,1.943301,,,,,,,,
160,3617,160,-8.912011,0.136903,0.770923,21,0,1,6,6,0,28,0,0.0,0,0,-6.0,,,,,,,,
161,3625,161,4.528269,0.13121,0.770417,5,1,1,1,0,1,41,2,1.154154,0,2,-2.422923,,,,,,,,
162,3639,162,-19.324244,0.16211,0.76953,41,0,1,6,6,0,31,1,0.372301,1,0,1.986151,,,,,,,,
163,3690,163,-0.102881,0.152662,0.7663,40,0,1,6,6,0,3,2,0.724653,0,2,-5.037673,,,,,,,,
164,3752,164,-8.946827,0.136681,0.762373,17,0,1,6,6,0,0,1,0.417773,0,1,-6.091113,,,,,,,,
165,3773,165,-13.541295,0.137887,0.761043,30,0,1,6,6,0,12,1,0.318752,0,1,-4.940624,,,,,,,,
166,3862,166,-14.47992,0.12776,0.755407,33,1,1,5,4,0,9,2,1.600358,4,-1,10.400179,,,,,,,,
167,3878,167,5.135821,0.083668,0.754393,1,1,1,1,0,1,3,3,1.679348,0,3,-3.660326,,,,,,,,
168,3892,168,7.923443,0.12669,0.753507,21,0,1,6,6,0,4,4,1.447057,1,3,-5.576471,,,,,,,,
169,3900,169,-9.452266,0.122762,0.753,22,1,1,4,3,0,15,3,1.381377,0,3,-6.209311,,,,,,,,
170,3919,170,-36.235355,0.134345,0.751797,42,0,1,6,6,0,0,0,0.0,0,0,-1.2,,,,,,,,
171,3934,171,1.180784,0.126828,0.750847,28,1,1,4,3,3,17,3,1.459629,3,0,9.729815,,,,,,,,
172,3946,172,9.557786,0.106679,0.750087,16,1,1,3,2,3,21,3,1.284073,0,3,-5.057963,,,,,,,,
173,3955,173,4.001144,0.130214,0.749517,26,0,1,6,6,0,7,4,1.437883,0,4,-7.681059,,,,,,,,
174,3973,174,-9.238009,0.113747,0.748377,27,0,1,6,6,0,1,1,0.442788,0,1,-6.078606,,,,,,,,
175,3986,175,4.589859,0.12188,0.747553,28,0,1,6,6,0,8,2,0.661039,0,2,-6.269481,,,,,,,,
176,4027,176,-10.059045,0.122628,0.744957,31,0,1,6,6,0,1,0,0.0,0,0,-6.0,,,,,,,,
177,4036,177,-6.630337,0.115601,0.744387,9,1,1,2,1,0,24,1,0.831663,0,1,-1.084169,,,,,,,,
178,4064,178,-18.795647,0.123343,0.742613,32,0,1,6,6,0,6,0,0.0,0,0,-2.4,,,,,,,,
179,4078,179,-5.03919,0.112204,0.741727,9,1,1,2,1,1,17,8,4.347896,0,8,-9.826052,,,,,,,,
180,4089,180,-10.387337,0.117555,0.74103,29,0,1,6,6,0,2,0,0.0,0,0,-6.0,,,,,,,,
181,4108,181,-7.273175,0.112608,0.739827,13,1,1,2,1,0,0,5,2.343311,0,5,-6.328344,,,,,,,,
182,4117,182,3.874153,0.138015,0.739257,9,1,1,2,1,1,36,2,0.97686,0,2,-3.71157,,,,,,,,
183,4161,183,-20.44536,0.120011,0.73647,34,0,1,6,6,0,0,2,0.987492,0,3,-5.206254,,,,,,,,
184,4167,184,-7.137659,0.125067,0.73609,33,0,1,6,6,0,2,1,0.691675,1,0,-1.454162,,,,,,,,
185,4178,185,4.577914,0.118954,0.735393,12,1,1,4,3,0,9,2,0.904109,0,2,-6.147946,,,,,,,,
186,4184,186,-13.153924,0.124495,0.735013,27,0,1,6,6,0,8,0,0.0,0,0,-4.8,,,,,,,,
